color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Season,Episode,seriesID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Where the Truth Lies,2005,Unrated,07 Oct 2005,107 min,"Crime, Mystery, Thriller",Atom Egoyan,"Atom Egoyan, Rupert Holmes","Kevin Bacon, Colin Firth, Alison Lohman","Karen O'Connor tells the story about two distinct but related periods in her life. In 1972, she is an up-and-coming Los Angeles based journalist who has been given the lucrative assignment of convincing once successful comic Vince Collins, who is at the tail end of his career, to allow her to ghost write his memoirs. Most specifically, she has the task from her publishers of discovering the reason behind two issues in Vince's life from 1957: why he and his former on-stage partner Lanny Morris, who is still active and well known within the entertainment business, broke up their professional partnership shortly after they hosted a successful thirty-nine hour telethon for polio research in Miami, there not having been any indication of problems between the two before that; and how did the dead body of Maureen O'Flaherty end up in the water filled bathtub in Vince and Lanny's New Jersey hotel suite, the opening of that New Jersey hotel owned by mobster Sally Sanmarco which was Lanny and Vince's next gig after the telethon. Maureen, a college student, was working part-time as a room service waitress at the Miami Versailles Hotel where Vince and Lanny were staying during the telethon, she who had served the pair at the time. The last she was known to be seen was by the Miami hotel staff when Lanny and Vince were still staying there three days before the discovery of her body, with the official cause of death being accidental drowning as she had narcotics in her system. Neither Lanny or Vince was ever implicated in having anything to do with Maureen's death or even how she got from Miami to New Jersey coinciding with their own travels. Despite there perhaps being more well known writers who could do the job, the publishing company chose Karen as, known or unknown to Vince, she was the Miracle Child, a polio survivor who appeared on the 1957 telethon. During her research, Karen is unable to meet with Lanny, who, through his legal representatives, tells her that he is writing his own explosive tell-all book which will make her project meaningless. In Karen's search for the truth, things get complicated when she starts receiving from an anonymous source upcoming chapters from Lanny's memoirs which may purely be to throw her off the track from reality, and when she meets Lanny in the flesh, she not divulging to him who she really is.","English, Cantonese","Canada, United Kingdom",2 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMTI2NzQ3ODc3OV5BMl5BanBnXkFtZTcwMjEzMTEzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.4,"18,352",tt0373450,movie,28 Aug 2007,"$872,142",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cirque du Soleil: Worlds Away,2012,PG,21 Dec 2012,91 min,Fantasy,Andrew Adamson,Andrew Adamson,"Erica Linz, Igor Zaripov, Lutz Halbhubner","A young woman in a small Mid-Western town goes to a traveling carnival one evening, where she is urged by a silent clown to visit the carnival's circus and see The Aerialist, the show's star attraction. She is entranced by The Aerialist, but during his act he misses a catch and falls to the ground. She rushes to help him, but then the ground beneath them gives way and they fall through into the dreamlike world of Cirque du Soleil. Separated, they travel through the different tent worlds trying to find each other, interacting with the strange and wonderful performers and performances of Cirque du Soleil.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTQxMjY0MzgzMl5BMl5BanBnXkFtZTcwNjc0NjQ2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.7,"8,123",tt1792647,movie,12 Mar 2013,"$12,512,862",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Without Limits,1998,PG-13,11 Sep 1998,117 min,"Biography, Drama, Sport",Robert Towne,"Robert Towne, Kenny Moore","Billy Crudup, Donald Sutherland, Monica Potter","The film follows the life of famous 1970s runner Steve Prefontaine from his youth days in Oregon to the University of Oregon where he worked with the legendary coach Bill Bowerman, later to Olympics in Munich and his early death at 24 in a car crash.","English, Finnish, German",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BNjNjOGE5MjQtYzY0NS00MDI0LWJmM2ItNGQwYTQ3Mjc1ZGIyXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.2,"7,273",tt0119934,movie,16 Feb 1999,"$777,423",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Me and Orson Welles,2008,PG-13,18 Dec 2009,114 min,"Comedy, Drama",Richard Linklater,"Robert Kaplow, Holly Gent, Vincent Palmo Jr.","Zac Efron, Claire Danes, Christian McKay","In November 1937, high school student and aspiring thespian Richard Samuels takes a day trip into New York City. There, he meets and begins a casual friendship with Gretta Adler, their friendship based on a shared love and goal of a profession in the creative arts. But also on this trip, Richard stumbles across the Mercury Theatre and meets Orson Welles, who, based on an impromptu audition, offers Richard an acting job as Lucius in his modern retelling of Julius Caesar, which includes such stalwart Mercury Theatre players as Joseph Cotten and George Coulouris. Despite others with official roles as producer John Houseman, this production belongs to Welles, the unofficial/official dictator. In other words, whatever Welles wants, the cast and crew better deliver. These requests include everything, even those of a sexual nature. Welles does not believe in conventions and will do whatever he wants, which includes not having a fixed opening date, although the unofficial opening date is in one week's time. In turn, Welles realizes that his name will either be strengthened or ruined in the theater community by this production. Richard is taken under the wing by the production's Jane-of-All-Trades, Sonja Jones. Known as the Ice Queen by the male cast, Sonja deflects much of the unwanted sexual attention by jokingly implying that she and Richard are having a fling, which Richard wants nothing more than to be the truth. As the end of the week and opening night approaches, Richard, having seen Welles' behavior, has to decide if acting in this production is worth it at any cost.",English,"United Kingdom, Isle of Man, United States",Nominated for 1 BAFTA Award5 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMzI5YjY0NjgtZDgxYi00YzFjLTljNzQtN2Y3ZTZjMDYzNjRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,6.7,"11,543",tt1175506,movie,17 Aug 2010,"$1,190,003",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Best Offer,2013,R,01 Jan 2014,131 min,"Crime, Drama, Mystery",Giuseppe Tornatore,Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks","In the world of high-end art auctions and antiques, Virgil Oldman is an elderly and esteemed but eccentric genius art-expert, known and appreciated by the world. Oldman is hired by a solitary young heiress, Claire Ibbetson, to auction off the large collection of art and antiques left to her by her parents. For some reason, Claire always refuses to be seen in person. Robert aids Oldman in restoring and reassembling some odd mechanical parts he finds amongst Claire's belongings, while also giving him advice on how to befriend her and deal with his feelings towards her. Also a friend of Oldman, Billy Whistler helps him to acquire a secret private collection of master paintings.","English, Italian",Italy,25 wins & 26 nominations,https://m.media-amazon.com/images/M/MV5BMTQ4MzQ3NjA0N15BMl5BanBnXkFtZTgwODQyNjQ4MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,7.8,"122,282",tt1924396,movie,29 Apr 2014,"$100,035",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Lieutenant: Port of Call New Orleans,2009,R,11 Dec 2009,122 min,"Crime, Drama",Werner Herzog,William M. Finkelstein,"Nicolas Cage, Eva Mendes, Russell M. Haeuser","After Katrina, police sergeant Terence McDonagh rescues a prisoner, hurts his back in the process and earns a promotion to lieutenant plus an addiction to cocaine and painkillers. Six months later, a family is murdered over drugs; Terence runs the investigation. His drug-using prostitute girlfriend, his alcoholic father's dog, run-ins with two old women and a well-connected john, gambling losses, a nervous young witness, and thefts of police property put Terence's job and then his life in danger. He starts seeing things. He wants a big score to get out from under mounting debts, so he joins forces with drug dealers. The murders remain unsolved. A bad lieutenant gets worse.","English, Spanish",United States,3 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTcyMzY0NTMzMF5BMl5BanBnXkFtZTcwMTc1MjY4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.6,"78,521",tt1095217,movie,06 Apr 2010,"$1,702,112",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Turtle's Tale: Sammy's Adventures,2010,PG,13 Jul 2012,88 min,"Animation, Adventure, Family","Ben Stassen, Mimi Maynard","Ben Stassen, Domonic Paris","Anthony Anderson, Ed Begley Jr., Pat Carroll","A sea turtle, who was hatched in 1959, spends the next fifty years travelling the world, while it is being changed by global warming.","Danish, Italian, English","France, Belgium, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BYzliYTFmODUtMGQ1Ny00MGY2LTkwMTUtZjZkOGJhYTVhNzg5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}]",N/A,6.0,"7,706",tt1230204,movie,07 Aug 2012,N/A,N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Little White Lies,2010,Not Rated,20 Oct 2010,154 min,"Comedy, Drama",Guillaume Canet,Guillaume Canet,"François Cluzet, Marion Cotillard, Benoît Magimel","Every year, Max, a successful restaurant owner, and Véro, his eco-friendly wife invite a merry group of friends to their beautiful beach house to celebrate Antoine's birthday and kick-start the vacation. But, this year, before they all leave Paris, their buddy Ludo is hurt in a serious accident, which sets off a dramatic chain of reactions and emotional responses. The eagerly anticipated vacation leads each of the protagonists to raise the little veils that for years they have draped over what bothers and upsets them. Pretenses become increasingly hard to keep up. Until the moment when the truth finally catches up with them all...",French,"France, Belgium",4 nominations,https://m.media-amazon.com/images/M/MV5BYjIzMzVmN2YtM2VlOS00NTY3LWIwNDktODg4MzQ2MWRlOWJmXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,7.1,"25,965",tt1440232,movie,17 Jan 2012,"$206,088",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love Ranch,2010,R,06 Jan 2011,117 min,"Biography, Comedy, Drama",Taylor Hackford,Mark Jacobson,"Helen Mirren, Joe Pesci, Sergio Peris-Mencheta","In the mid 1970s, near Reno, Nevada, Grace Bontempo (Dame Helen Mirren) runs the Love Ranch, a legal brothel. Her husband Charlie (Joe Pesci), with big dreams, a felony record, and an aptitude for spending and infidelity, is the brothel's public face. On the day Grace's doctor tells her she has cancer in an advanced state, Charlie takes on new client, Argentine boxer Armando Bruza (Sergio Peris-Mencheta), Charlie's ticket to fame: he hopes to promote a fight with Ali. Because of Charlie's felonies, Grace is Bruza's titular manager. With the I.R.S. and the church ladies circling the business, Grace takes the manager's role seriously and, along the way, Bruza charms her. Secrets play out: is there love at the Love Ranch? How will Charlie respond?",English,"Germany, United States",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTQwNzgyNzA4OV5BMl5BanBnXkFtZTcwNzA0MDk0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.6,"3,267",tt1125929,movie,09 Nov 2010,"$137,885",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The True Story of Puss'N Boots,2009,G,01 Apr 2009,80 min,"Animation, Adventure, Comedy","Jérôme Deschamps, Pascal Hérold, Macha Makeïeff","Jérôme Deschamps, Pascal Hérold, Macha Makeïeff","Jérôme Deschamps, Yolande Moreau, Arthur Deschamps","An adaptation of Charles Perrault's famous Puss'n Boots, ""The True Story of Puss'n Boots"" is a story for young and old for the first time on cinema screens.","English, French",France,N/A,https://m.media-amazon.com/images/M/MV5BMjA0MTE2NjgzOV5BMl5BanBnXkFtZTgwMjE2MjA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.0/10'}]",N/A,3.0,"1,092",tt1239462,movie,04 Oct 2011,N/A,N/A,N/A,True,,,,
