color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Welcome to Collinwood,2002,R,18 Oct 2002,86 min,"Comedy, Crime","Anthony Russo, Joe Russo","Anthony Russo, Joe Russo","George Clooney, Sam Rockwell, William H. Macy","Cosimo gets a plan for a huge job from his cellmate. He asks his woman to find a patsy for his bungled car theft, offering $15,000. Suddenly, 7 are involved.",English,N/A,2 nominations,https://m.media-amazon.com/images/M/MV5BMTc0NTI1MjMwMl5BMl5BanBnXkFtZTYwNTE2NzY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.3,"15,229",tt0271259,movie,01 Jan 2009,N/A,N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Critical Care,1997,R,31 Oct 1997,107 min,"Comedy, Drama",Sidney Lumet,"Richard Dooling, Steven Schwartz","James Spader, Kyra Sedgwick, Helen Mirren","Dr. Werner Ernst (James Spader) is a young hospital resident who becomes embroiled in a legal battle between two half-sisters who are fighting over the care of their comatose father. But are they really fighting over their father's care, or over his ten million dollar estate? Meanwhile, Werner must contend with his nutty supervisor, who insists that he only care for patients with full insurance. Can Werner sidestep the hospital's legal team and do what's best for the patient?",English,"Australia, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BMjk5MzNhNGUtZjRmNS00Y2YyLThiZjYtODYzZDAyMDkxNWYzXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}]",N/A,5.9,"2,186",tt0118901,movie,20 Mar 2001,"$221,193",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Life Before Her Eyes,2007,R,05 Sep 2008,90 min,"Drama, Fantasy, Mystery",Vadim Perelman,"Laura Kasischke, Emil Stern","Uma Thurman, Evan Rachel Wood, Eva Amurri","A dramatic thriller about Diana, a suburban wife and mother who begins to question her seemingly perfect life--and perhaps her sanity--on the 15th anniversary of a tragic high school shooting. In flashbacks, Diana is a vibrant high schooler who, with her shy best friend Maureen, plot typical teenage strategies--cutting class,fantasizing about boys--and vow to leave their sleepy suburb at the first opportunity. The older Diana, however, is haunted by the increasingly strained relationship she had with Maureen as day of the school shooting approached. These memories disrupt the idyllic life she's now leading with her professor husband Paul and their young daughter Emma. As older Diana's life begins to unravel and younger Diana gets closer and closer to the fatal day, a deeper mystery slowly unravels.",English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BMTM1MzAxNzgyM15BMl5BanBnXkFtZTcwNjAyOTM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.3,"14,562",tt0815178,movie,19 Aug 2008,"$303,439",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darling Companion,2012,PG-13,24 May 2012,103 min,"Comedy, Drama, Romance",Lawrence Kasdan,"Meg Kasdan, Lawrence Kasdan","Diane Keaton, Kevin Kline, Dianne Wiest","Mother and daughter, Beth and Grace, find a bedraggled dog on the side of the freeway. Taking it home and rescuing it, the dog helps Grace meet a man. But Beth's husband, Joseph, hates the dog and just might cause even more friction in their marriage. While at their remote cabin for a weekend wedding with family, Joseph loses the dog and Beth isn't going home until they find it. With help from their nephew, Joseph's sister, her new boyfriend, and their psychic gypsy maid, the family search high and low for the missing dog and in the process find that they also need to mend their own relationships.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjA5NTQ3MDExMl5BMl5BanBnXkFtZTcwNjU1MTc2Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.1,"3,582",tt1730687,movie,28 Aug 2012,"$793,815",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trade,2007,R,18 Oct 2007,120 min,"Crime, Drama, Thriller",Marco Kreuzpaintner,"Jose Rivera, Peter Landesman","Kevin Kline, Kathleen Gati, Paulina Gaitan","Ray Sheridan is a Texas Ranger working in the insurance fraud division. From a devout Catholic family, seventeen year old Jorge lives in a Mexico City slum neighborhood with his mother and his thirteen year old sister Adriana. To have a better life not only for himself but also his family, Jorge, with two of his friends, has resorted to a ""violent"" scam to steal money from tourists in the Zocolo, something he hasn't told his mother who would disapprove. Ray and Jorge's very different existences intersect on a chance meeting straddling the border at El Paso/Juarez in dealing with the same issue from two slightly different directions, that issue being sex trafficking. Ray has been using his professional position on a personal mission of locating his illegitimate daughter Carly, who he has never met and who he has just learned was sold by her junkie mother ten years ago, he assuming into the illegal sex trade. With Adriana having gone missing, Jorge eventually learned that the assumption made by his criminal acquaintance Don Victor based on the evidence that Adriana was kidnapped by a Russian led sex trafficking group is true in Jorge having eventually been able to follow the kidnappers' path to Juarez. Adriana is one of four being transported across the border into the US, those four including Veronica, a young Polish woman whose ""travel service"" back home advised in going through Mexico as an easier entrance into the US where she hoped to eke out a better life eventually to be able to bring her son, Gregor. Veronica has taken it upon herself to be the defiant one to protect the other three, including Adriana. While Ray and Jorge work on two different mentalities - Ray more methodical with Jorge running more on adrenaline - the two have to decide how to approach the issue when they discover that the kidnappers' ultimate destination is New Jersey, where Adriana will be involved in an online auction in the highly lucrative position of the auction as the virgin.","English, Spanish, Polish, Russian","Germany, United States, Mexico",5 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BYjUzMmUzZmMtZDRmNy00NGJkLWJmZTgtZDEwZmZkMGMxMjU2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,7.3,"17,569",tt0399095,movie,29 Jan 2008,"$214,307",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fateless,2005,R,10 Feb 2005,140 min,"Drama, Romance, War",Lajos Koltai,Imre Kertész,"Marcell Nagy, Béla Dóra, Bálint Péntek","An Hungarian youth comes of age at Buchenwald during World War II. György Köves is 14, the son of a merchant who's sent to a forced labor camp. After his father's departure, György gets a job at a brickyard; his bus is stopped and its Jewish occupants sent to camps. There, György find camaraderie, suffering, cruelty, illness, and death. He hears advice on preserving one's dignity and self-esteem. He discovers hatred. If he does survive and returns to Budapest, what will he find? What is natural; what is it to be a Jew? Sepia, black and white, and color alternate to shade the mood.","Hungarian, German, English, Yiddish, Hebrew, Polish","Hungary, Germany, United Kingdom, Israel, France, United States",6 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTA3MTg1MDk4NTleQTJeQWpwZ15BbWU3MDQ1NTg1MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.0,"6,970",tt0367082,movie,02 Dec 2019,"$196,857",N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast of Champions,1999,R,17 Sep 1999,110 min,Comedy,Alan Rudolph,"Kurt Vonnegut Jr., Alan Rudolph","Bruce Willis, Nick Nolte, Albert Finney","A portrait of a fictional town in the midwest that is home to a group of idiosyncratic and slightly neurotic characters. Dwayne Hoover is a wealthy car dealership owner that's on the brink of suicide, and is losing touch with reality.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTU4MDU4NTkwOF5BMl5BanBnXkFtZTcwNjAzNTUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,4.5,"8,096",tt0120618,movie,N/A,"$178,278","Ecovideo [pt], Warner Bros., West Video, Les Films de l&#39;Astre, Walt Disney Company Ltd. [gb], Budapest Film Rt., Buena Vista Pictures, Tobis Filmkunst, Argentina Video Home, Mikado",N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A Woman, a Gun and a Noodle Shop",2009,R,11 Dec 2009,95 min,"Comedy, Drama",Yimou Zhang,"Zhengchao Xu, Jianquan Shi, Xiaofeng Zhou","Dahong Ni, Ni Yan, Shenyang Xiao","At boss Wang's traditional Chinese noodle shop, a colourful and exotic Persian trader of arms introduces the shop owner's wife to the weapons of the West, and consequently, to mankind's greatest invention: the handgun. As a result, the woman excited with her newest acquisition that kills instantly, a brass, triple-muzzle top-break revolver, naturally, she will need more, however, the loud noise of the firearms' demonstration will inevitably attract a brigade of the local police force who will drop by for an investigation. Soon, grouchy old miser Wang will find out everything about his double-crossing wife's affair with the Inn's mincing weakling apprentice Li, and as the corpses begin piling up, it's going to be every man for himself and all for Wang's crammed strongbox.","Mandarin, English","China, Hong Kong",2 nominations,https://m.media-amazon.com/images/M/MV5BMTA2ODA3OTA3MzZeQTJeQWpwZ15BbWU3MDc4NzQyNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,5.7,"3,340",tt1428556,movie,03 Jan 2016,"$190,946","Beijing New Picture Film Co., Film Partner International",N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cypher,2002,R,02 Aug 2002,95 min,"Mystery, Sci-Fi, Thriller",Vincenzo Natali,Brian King,"Jeremy Northam, Lucy Liu, Nigel Bennett","Hoping for a more exciting life than the suburban drawl he currently inhabits, nerdy salary man Morgan Sullivan takes a job as an industrial spy at Digicorp, a global computer corporation. Digicorp assigns him the duty of flying to various conventions around America, recording the speeches that are made. But when Sullivan meets a mysterious woman he begins to realize that his job may not be what it seems, as he descends into a dark underworld of brainwashing and struggles to maintain his own identity.",English,United States,5 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMzdiZGMzNmEtYWYzYi00ZjA5LWI0NzYtMzAzYmZjNWZmNDhkL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}]",N/A,6.7,"31,569",tt0284978,movie,02 Aug 2005,N/A,N/A,N/A,True,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Life and Death,2009,R,22 Apr 2009,133 min,"Drama, History, War",Chuan Lu,Chuan Lu,"Ye Liu, Wei Fan, Hideo Nakaizumi","In 1937, Japan occupied Nanjing, the Chinese capital. There was a battle and subsequent atrocities against the inhabitants, especially those who took refuge in the International Security Zone.","Mandarin, English, Japanese, German","China, Hong Kong",17 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BY2U3YTAwMjQtMmIzNC00MmI0LTliOWEtYTYwMDc1NmU1Mzc3XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,7.7,"11,286",tt1124052,movie,25 Oct 2011,"$122,558",N/A,N/A,True,
