color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Secret in Their Eyes,2009,R,21 May 2010,129 min,"Drama, Mystery, Romance",Juan José Campanella,"Eduardo Sacheri, Juan José Campanella","Ricardo Darín, Soledad Villamil, Pablo Rago","In 1999, retired Argentinian federal justice agent Benjamín Espósito is writing a novel, using an old closed case as the source material. That case is the brutal rape and murder of Liliana Coloto. In addition to seeing the extreme grief of the victim's husband Ricardo Morales, Benjamín, his assistant Pablo Sandoval, and newly hired department chief Irene Menéndez-Hastings were personally affected by the case as Benjamín and Pablo tracked the killer, hence the reason why the unsatisfactory ending to the case has always bothered him. Despite the department already having two other suspects, Benjamín and Pablo ultimately were certain that a man named Isidoro Gómez is the real killer. Although he is aware that historical accuracy is not paramount for the novel, the process of revisiting the case is more an issue of closure for him. He tries to speak to the key players in the case, most specifically Irene, who still works in the justice department and who he has always been attracted to but never pursued due to the differences in their ages and social classes. The other issue is that Gómez is still at large, no one aware if he is alive or dead. But as Pablo at the time mentioned that passion is one thing that cannot be changed in behavior, Benjamín learns now that that premise still holds true.",Spanish,"Argentina, Spain",Won 1 Oscar. 53 wins & 43 nominations total,https://m.media-amazon.com/images/M/MV5BY2FhZGI5M2QtZWFiZS00NjkwLWE4NWQtMzg3ZDZjNjdkYTJiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,8.2,"212,240",tt1305806,movie,21 Sep 2010,"$6,391,436",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day of the Dead,1985,Not Rated,19 Jul 1985,101 min,"Horror, Thriller",George A. Romero,George A. Romero,"Lori Cardille, Terry Alexander, Joseph Pilato","Zombies rule the world, except for a small group of scientists and military personnel who reside in an underground bunker in Florida. The scientists are using the undead in gruesome experiments; much to the chagrin of the military. Finally the military finds that their men have been used in the scientists' experiments, and banish the scientists to the caves that house the Living Dead. Unfortunately, the zombies from above ground have made their way into the bunker.",English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BNWVmMzlhZGYtMWRiOS00MGIwLTk5YTAtZGE4OTcyYjU3YzZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,7.1,"70,952",tt0088993,movie,19 Aug 2003,"$5,000,000",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train,2008,R,02 May 2009,94 min,"Horror, Thriller",Gideon Raff,Gideon Raff,"Thora Birch, Gideon Emery, Kavan Reece","In Europe, a group of American college athletes unknowingly board a train that will become one deadly ride.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzQ0ZDM3MjUtZTAwNi00ZWEyLWE5NWEtOTI4OWFlYjI5YTk1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,"6,620",tt1015474,movie,17 Nov 2009,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evil Dead II,1987,R,13 Mar 1987,84 min,"Comedy, Horror",Sam Raimi,"Sam Raimi, Scott Spiegel","Bruce Campbell, Sarah Berry, Dan Hicks",Ashley Williams travels to a secluded cabin in the woods with his girlfriend Linda where they find a tape recording of a professor and a book of evil. This unleashes a bunch of evil spirits that constantly terrorize Ash. Meanwhile a journalist comes to the area to study the book of evil. Ash and her end up having to survive this swarm of evil until morning comes.,"English, Latin",United States,5 nominations,https://m.media-amazon.com/images/M/MV5BMWY3ODZlOGMtNzJmOS00ZTNjLWI3ZWEtZTJhZTk5NDZjYWRjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.7,"169,146",tt0092991,movie,29 Aug 2000,"$5,923,044",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pootie Tang,2001,PG-13,29 Jun 2001,81 min,"Action, Adventure, Comedy",Louis C.K.,Louis C.K.,"Chris Rock, Lance Crouther, J.B. Smoove","Pootie Tang, the musician/actor/folk hero of the ghetto, is chronicled from his early childhood to his battles against the evil Corporate America, who try to steal his magic belt and make him sell out by endorsing addictive products to his people. Pootie must learn to find himself and defeat the evil corporation for all the young black children of America, supatime.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNDIzYzA4NDctNWM5Yi00YzA1LThhOGUtMmFlYmVlMWE0ZTNmXkEyXkFqcGdeQXVyOTc5MDI5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.2,"14,639",tt0258038,movie,20 Jul 2007,"$3,313,583",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharknado,2013,Not Rated,11 Jul 2013,86 min,"Action, Adventure, Comedy",Anthony C. Ferrante,Thunder Levin,"Ian Ziering, Tara Reid, John Heard","When a freak hurricane swamps Los Angeles, nature's deadliest killer rules sea, land, and air as thousands of sharks terrorize the waterlogged populace.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BODcwZWFiNTEtNDgzMC00ZmE2LWExMzYtNzZhZDgzNDc5NDkyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}]",N/A,3.3,"50,812",tt2724064,movie,03 Sep 2013,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Other Conquest,1998,R,21 Apr 2000,105 min,"Drama, History",Salvador Carrasco,Salvador Carrasco,"Damián Delgado, José Carlos Rodríguez, Elpidia Carrillo","It is May 1520 in the vast Aztec Empire one year after the Spanish Conqueror Hernán Cortés' arrival in Mexico. ""The Other Conquest"" opens with the infamous massacre of the Aztecs at the Great Temple of Tenochtitlan [what is now called Mexico City]. The sacred grounds are covered with the countless bodies of priests and nobility slaughtered by the Spanish Armies under Cortés' command. The lone Aztec survivor of the massacre is a young Indian scribe named Topiltzin [Damián Delgado]. Topiltzin, who is the illegitimate son of the Aztec Emperor Moctezuma, survives the onslaught by burying himself under a stack of bodies. As if awakening from a dream, the young man rises from among the dead to find his mother murdered, the Spanish in power and the dawn of a new era in his native land. A New World with new leaders, language, customs... and God. Representing the New Order is the Spanish Friar Diego [José Carlos Rodríguez]. His mission is to convert the ""savage"" natives into civilised Christians; to replace their human sacrifices and feathered deities with public Christenings and fealty to the Blessed Virgin Mary. With Topiltzin, Friar Diego faces his most difficult spiritual and personal challenge, for when Topiltzin is captured by Spanish troops and presented to Cortés [Iñaki Aierra], the Spanish Conqueror places Topiltzin's conversion under Friar Diego's care. Old world confronts the New as Topiltzin struggles to preserve his own beliefs, whilst Friar Diego attempts to impose his own. Moreover, all the while, the question remains: Who is converting whom?","Spanish, Nahuatl",Mexico,2 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTIwMTQwOTczMF5BMl5BanBnXkFtZTcwNjgwMjc0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",N/A,6.6,"1,178",tt0175996,movie,16 Oct 2007,"$894,410",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Troll Hunter,2010,PG-13,29 Oct 2010,103 min,"Drama, Fantasy, Horror",André Øvredal,André Øvredal,"Otto Jespersen, Robert Stoltenberg, Knut Nærum","When bears are found dead in Norway, students from Volda University (Thomas, Johanna and cameraman Kalle) decide to investigate. They stalk the trail of the mysterious hunter Hans, expecting to find an explanation for the killings. The reluctant Hans tries to flee from the youngsters but then agrees to let them film him in action, provided they follow his orders. Soon the trio of students learns that Hans is actually a troll hunter working for a secret government agency. Further, several dangerous trolls have escaped from their territory and Hans is assigned to eliminate them.","Norwegian, English",Norway,12 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTkyMTgxNzIwOF5BMl5BanBnXkFtZTcwNjYyNjM5NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.9,"76,941",tt1740707,movie,23 Aug 2011,"$253,444",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ira & Abby,2006,R,09 May 2008,104 min,"Comedy, Romance",Robert Cary,Jennifer Westfeldt,"Jennifer Westfeldt, Chris Messina, Jason Alexander","A hastily married couple quickly devolve into a life of affairs, meddling parents, and therapy.",English,United States,4 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNTc1NDkwNDg4M15BMl5BanBnXkFtZTgwNTg1OTkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.4,"2,390",tt0480251,movie,29 Jan 2008,"$221,096",Magnolia Pictures,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Watch,2012,R,27 Jul 2012,102 min,"Comedy, Sci-Fi",Akiva Schaffer,"Jared Stern, Seth Rogen, Evan Goldberg","Ben Stiller, Vince Vaughn, Jonah Hill","In Glenview, Ohio, Evan is the manager of the Costco department store and married to Abby. When the Costco night watchman, Antonio Guzman, is mysteriously murdered, Evan organizes The Neighborhood Watch, a watch team with his suburban neighbors Bob, Franklin and Jamarcus to protect the neighborhood and find the killer of Antonio. Soon they discover that the murderer is an alien that is preparing to invade Earth, and they become the last hope of mankind on Earth.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMjU5MzI1NTk1MV5BMl5BanBnXkFtZTcwMzk5NzY5Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.7,"129,870",tt1298649,movie,13 Nov 2012,"$35,353,000",N/A,N/A,True,,
